Years,Values
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,102758
2008,2092387
2009,1928365
2010,1681280
2011,1654155
2012,1455356
2013,1309482
2014,605000
2015,537621
2016,532479
2017,544208
2018,524973
2019,528623
2020,583078
2021,630340
2022,641603
1993 Q1,0
1993 Q2,0
1993 Q3,0
1993 Q4,0
1994 Q1,0
1994 Q2,0
1994 Q3,0
1994 Q4,0
1995 Q1,0
1995 Q2,0
1995 Q3,0
1995 Q4,0
1996 Q1,0
1996 Q2,0
1996 Q3,0
1996 Q4,0
1997 Q1,0
1997 Q2,0
1997 Q3,0
1997 Q4,0
1998 Q1,0
1998 Q2,0
1998 Q3,0
1998 Q4,0
1999 Q1,0
1999 Q2,0
1999 Q3,0
1999 Q4,0
2000 Q1,0
2000 Q2,0
2000 Q3,0
2000 Q4,0
2001 Q1,0
2001 Q2,0
2001 Q3,0
2001 Q4,0
2002 Q1,0
2002 Q2,0
2002 Q3,0
2002 Q4,0
2003 Q1,0
2003 Q2,0
2003 Q3,0
2003 Q4,0
2004 Q1,0
2004 Q2,0
2004 Q3,0
2004 Q4,0
2005 Q1,0
2005 Q2,0
2005 Q3,0
2005 Q4,0
2006 Q1,0
2006 Q2,0
2006 Q3,0
2006 Q4,0
2007 Q1,0
2007 Q2,0
2007 Q3,0
2007 Q4,102758
2008 Q1,99827
2008 Q2,93834
2008 Q3,126637
2008 Q4,2092387
2009 Q1,2015532
2009 Q2,1937057
2009 Q3,1932979
2009 Q4,1928365
2010 Q1,1833852
2010 Q2,1787433
2010 Q3,1705668
2010 Q4,1681280
2011 Q1,1711156
2011 Q2,1747432
2011 Q3,1702216
2011 Q4,1654155
2012 Q1,1583200
2012 Q2,1512602
2012 Q3,1485016
2012 Q4,1455356
2013 Q1,1447865
2013 Q2,1366379
2013 Q3,1337926
2013 Q4,1309482
2014 Q1,966030
2014 Q2,622719
2014 Q3,613860
2014 Q4,605000
2015 Q1,591211
2015 Q2,577422
2015 Q3,557522
2015 Q4,537621
2016 Q1,548664
2016 Q2,559707
2016 Q3,546093
2016 Q4,532479
2017 Q1,541815
2017 Q2,551150
2017 Q3,547679
